timestamp;from;to;memo
2021-11-01T21:54:39.000;syoyfssqi434;neiltakemoto;for steadying a nervous newbie
2021-11-01T19:38:01.000;marionospelt;severinspace;being part of Seelsorge
2021-11-01T18:48:33.000;marionospelt;leonfehr1313;krypto tips
2021-11-01T18:46:00.000;marionospelt;gastonfehr44;Cooking Pizza
2021-11-01T02:00:21.000;nadimhamdan1;f4b1vuk1seed;consulting with your divine feminine wisdom 🙏 💜
2021-11-01T02:00:08.500;nadimhamdan1;anahealingwo;consulting with your divine feminine wisdom 🙏 💜
2021-11-01T01:59:49.500;nadimhamdan1;minosdoros55;consulting with your divine feminine wisdom 🙏 💜
2021-10-31T15:07:14.500;parfaitmugis;andytheseeds;for his implication to strengthen our movement in Burundi
2021-10-31T13:14:03.500;severinspace;leonfehr1313;beeing a part of seeds
2021-10-31T13:13:50.000;severinspace;marionospelt;beeing a part of seeds
2021-10-31T13:12:57.000;severinspace;gastonfehr44;showing me seeds
2021-10-31T13:12:40.500;gastonfehr44;leonfehr1313;beeing a part of seeds
2021-10-31T12:43:41.000;gastonfehr44;severinspace;linking to seeds
2021-10-31T10:55:31.000;illumination;jasondoh1155;for light wallet stewardship
2021-10-31T10:45:41.000;melodzogu215;mastermazzo1;for the wonderful bot for the Italian community
2021-10-31T09:57:56.000;jasondoh1155;skyblueearth;for helping develop our QA processes 🙏🏽🙏🏽
2021-10-30T17:00:21.500;freedomcell1;inhabit4love;for sharing his heart with words
2021-10-30T16:50:24.000;freedomcell1;aliixbalamoo;for sharing his experiences at Lake Atitlan
2021-10-29T20:45:43.500;lesgavatxes1;sustainable3;his efforts in making it possible to end the fossil fuel industry
2021-10-29T20:43:26.500;lesgavatxes1;neiltakemoto;surfing the waves of community energy 😉
2021-10-29T20:42:13.000;lesgavatxes1;thealchemist;the reminders to use gratitude and overall mindblowing efforts to improve everything
2021-10-29T20:40:31.500;lesgavatxes1;indrasloom33;caring about others and general enthusiasm
2021-10-29T20:38:53.000;lesgavatxes1;milaecdap141;all the work on the comms R&D
2021-10-29T20:36:34.000;lesgavatxes1;juliomonteir;holding space within RE
2021-10-29T20:33:02.500;lesgavatxes1;apostolseeds;making the Trello board for RE
2021-10-29T20:29:05.000;lesgavatxes1;gradinagruiu;his help with my Light Wallet issue
2021-10-29T19:52:49.000;gastonfehr44;leonfehr1313;american football knowledge
2021-10-29T19:52:35.000;gastonfehr44;leonfehr1313;american football knowledge
2021-10-29T19:41:50.500;gastonfehr44;leonfehr1313;american football knowlege
2021-10-29T17:11:20.500;leonfehr1313;gastonfehr44;seeds
2021-10-29T16:59:15.500;gastonfehr44;marionospelt;pizza cooking
2021-10-29T10:02:22.000;kapishdutta1;marionospelt;Passive support
2021-10-29T10:02:05.500;kapishdutta1;kritshridhar;Passive support
2021-10-29T10:01:46.500;kapishdutta1;gastonfehr44;Wisdom and guidance
2021-10-29T10:01:33.500;kapishdutta1;michilampert;Back end support and hardwork
2021-10-29T10:01:17.500;kapishdutta1;loveandlight;Representing worldwide
2021-10-29T10:01:02.000;kapishdutta1;lisalight231;Holding the space and bringing in wisdom
2021-10-29T10:00:48.000;kapishdutta1;gebhardbeckj;All the courage
2021-10-29T10:00:33.500;kapishdutta1;marshalneyer;Being a strong Pillar of IE
2021-10-29T06:41:59.000;bigorna12345;nadimhamdan1;always being there 🙏
2021-10-29T05:59:30.000;gradinagruiu;gerard5ph321;kindness and support
2021-10-29T05:11:57.000;paulinhoy434;mutebisyaka1;for his commitment and hard work to move forward the Seeds ecosystem in the Nakivale refugee settlement
2021-10-29T05:08:06.500;paulinhoy434;derjogi11111;for his donation on the Nakivale project
2021-10-29T03:07:32.500;monicazul512;mariacvba411;pelas artes.
2021-10-29T03:07:06.000;monicazul512;deboratimoss;- pelas divulgações e polinizações.
2021-10-29T03:06:33.500;monicazul512;julianaseeds;- Grata por mais uma POLINIZAÇÃO.
2021-10-29T03:05:55.500;monicazul512;eddyaugusto5;por cuidar dos créditos e apoio.
2021-10-28T22:09:36.000;leonfehr1313;marionospelt;great food
2021-10-28T22:06:20.500;leonfehr1313;gastonfehr44;“event support”
2021-10-28T22:04:42.500;gastonfehr44;lisalight231;layout and workshopping
2021-10-28T22:03:08.500;gastonfehr44;kritshridhar;deep water
2021-10-28T22:02:46.000;leonfehr1313;gastonfehr44;Thx for showing me the Seeds-platform! 😁
2021-10-28T22:02:08.500;gastonfehr44;gebhardbeckj;coworker
2021-10-28T22:00:21.500;gastonfehr44;michilampert;deep diving in nc
2021-10-28T21:59:14.500;gastonfehr44;marshalneyer;networking
2021-10-28T21:58:00.000;gastonfehr44;marionospelt;shopping queen
2021-10-28T21:56:40.000;gastonfehr44;leonfehr1313;buying ticket
2021-10-28T21:53:54.500;gastonfehr44;kapishdutta1;webinator
2021-10-28T19:27:07.500;marionospelt;michilampert;work arounder
2021-10-28T19:25:38.000;marionospelt;gastonfehr44;Diskussion Leasing
2021-10-28T19:24:17.500;marionospelt;loveandlight;DAO-Master
2021-10-28T19:21:24.000;marionospelt;kritshridhar;background Wirkerei
2021-10-28T19:19:43.500;marionospelt;lisalight231;workshopping
2021-10-28T19:18:10.500;marionospelt;kapishdutta1;connecting Dons
2021-10-28T19:15:41.500;marionospelt;gebhardbeckj;efforts in Energy Vision
2021-10-28T19:14:23.000;marionospelt;marshalneyer;Collection Tonics
2021-10-28T15:44:13.000;marshalneyer;loveandlight;holding space and being our vision keeper
2021-10-28T15:44:01.000;marshalneyer;kritshridhar;keeping up with us in spirit and helping us in his freetime
2021-10-28T15:43:50.000;marshalneyer;marionospelt;keeping Gastons back and believing in us
2021-10-28T15:43:37.500;marshalneyer;kapishdutta1;his co-creating and having creative calls
2021-10-28T15:43:21.000;marshalneyer;lisalight231;her spiritual and peaceful way of taking care and facilitating
2021-10-28T15:43:11.000;marshalneyer;gebhardbeckj;holding the vision, believing and moving forward
2021-10-28T15:43:01.000;marshalneyer;gastonfehr44;being insisting and organising funding for our projects
2021-10-28T15:42:48.500;marshalneyer;michilampert;being a great IT support and having great patience and understanding
2021-10-28T08:16:11.000;nomik22kimon;thelovewitch;being my PC buddy over the past year ❤️
2021-10-28T08:13:31.000;nomik22kimon;paulcarvalho;your calm presence that brings me peace even if we’re not interacting 🙂
2021-10-28T08:12:50.500;nomik22kimon;abrancusi123;sensing, knowing and sharing.
2021-10-28T08:12:25.000;nomik22kimon;milaecdap141;bringing wisdom, action and fun.
2021-10-28T08:04:34.500;nomik22kimon;joachimstroh;changing the hypha gears into practical getting sh*t done mode
2021-10-28T08:04:04.500;nomik22kimon;juliomonteir;generally being an awesome human
2021-10-28T08:03:31.000;nomik22kimon;thealchemist;connecting at the gov guild session yesterday.
2021-10-28T07:57:18.000;nomik22kimon;esteesh12345;supporting the org scan and inviting peers to fill it in.
2021-10-28T02:30:53.000;barbaradlima;neiltakemoto;conscious leadership
2021-10-28T02:30:35.000;barbaradlima;bigorna12345;sharing this beautiful project and spreading SEEDS awareness
2021-10-28T02:30:19.000;barbaradlima;dayagardunha;energizing SEEDS
